Cache Size,Threshold,Policy,VectorDB Latency (ms),Retrieve Latency (ms),Accuracy,Hit Rate (%)
10,2,FIFO,52.3665788011,58.4118122656,66.98,0.30959752
100,2,FIFO,49.8988858636,55.5910606502,66.98,0.61919505
200,8,FIFO,49.4243509026,24.0853836662,58.95,71.20743034
10,8,FIFO,51.8053540396,40.7672902748,64.51,32.50773994
10,10,FIFO,49.8945946787,33.8822584772,56.79,68.42105263
10,1,FIFO,51.4206871483,57.1934984933,66.98,0.30959752
20,6,FIFO,51.2935154968,51.6341035211,64.81,10.83591331
50,1,FIFO,49.2109808122,55.0396604804,66.98,0.30959752
200,10,FIFO,53.8163105647,12.1566090421,55.25,90.7120743
200,2,FIFO,49.1684069886,54.871050566,66.98,0.61919505
100,10,FIFO,50.4381338755,10.3961543033,55.25,90.7120743
50,4,FIFO,51.78271772,56.1625366979,67.28,3.09597523
100,1,FIFO,49.2089327818,55.2844263083,66.98,0.30959752
50,10,FIFO,54.8059463501,10.6871201896,55.25,90.7120743
200,4,FIFO,51.7506397377,53.3038056672,65.74,8.66873065
10,6,FIFO,50.7358768058,53.2707806342,66.05,6.811145509999999
200,6,FIFO,52.4072745921,40.0647998963,62.65,40.24767802
200,1,FIFO,48.6582606476,54.5824865808,66.98,0.30959752
100,8,FIFO,48.7472293197,19.897838126,58.95,71.20743034
50,2,FIFO,49.1660970765,54.8274930417,66.98,0.61919505
20,4,FIFO,51.0422982275,56.5069651825,66.98,0.9287925699999999
10,4,FIFO,52.6256836951,58.1118816931,66.98,0.9287925699999999
100,6,FIFO,49.3571041895,38.4499406667,61.42,34.05572755
20,10,FIFO,50.9474710985,14.3797670725,54.63,82.97213622000001
20,1,FIFO,50.1254834003,55.9101274508,66.98,0.30959752
20,8,FIFO,53.0647622502,35.9723833692,60.8,43.03405573
50,6,FIFO,47.9600973129,43.0093948317,61.73,22.6006192
50,8,FIFO,51.5080223083,25.6425234555,57.72,61.300309600000006
20,2,FIFO,49.4161414804,55.2069306743,66.98,0.30959752
100,4,FIFO,49.3710471635,51.8195400297,66.05,7.430340559999999
