Cache Size,Threshold,Policy,VectorDB Latency (ms),Retrieve Latency (ms),Accuracy,Hit Rate (%)
20,4,LFU,52.2499031991,59.4953922295,67.28,1.54798762
50,1,LFU,52.3944609675,60.5247183112,66.98,0.0
200,8,LFU,51.3368729622,21.9484940402,58.95,71.20743034
20,8,LFU,49.294408999,33.8284910279,62.35,47.05882353
10,8,LFU,49.696146895,41.2155725639,62.96,32.50773994
200,6,LFU,51.2134645887,38.3404401065,62.65,40.24767802
200,4,LFU,49.0166598738,53.4486047255,66.05,7.430340559999999
100,10,LFU,53.7382443746,12.4385570963,55.25,90.7120743
20,2,LFU,62.6571281776,70.5261193562,66.98,0.0
200,10,LFU,54.0922085444,12.2024828435,55.25,90.7120743
100,1,LFU,50.3862287976,58.5170271965,66.98,0.0
10,10,LFU,52.7904149025,17.4084669296,55.86,80.80495356
100,4,LFU,50.9790923774,56.4371240397,66.67,4.95356037
20,1,LFU,51.7979059426,59.5479816106,66.98,0.0
100,6,LFU,50.8979078718,41.0088577507,63.89,34.6749226
50,8,LFU,49.9786368588,25.3144476805,60.8,64.70588235
10,2,LFU,49.064927795,56.7377654392,66.98,0.0
20,6,LFU,51.9577170565,54.7675303999,66.67,9.90712074
10,4,LFU,49.6765863821,57.1680629955,67.28,0.30959752
50,6,LFU,48.9562213421,44.2860178165,63.89,25.69659443
10,6,LFU,48.8823827004,54.0807217636,67.28,4.95356037
200,1,LFU,48.4422028249,56.5812454873,66.98,0.0
10,1,LFU,51.8327534383,60.3263407669,66.98,0.0
50,2,LFU,51.9001816079,59.9836860279,66.98,0.0
100,8,LFU,49.9169621416,21.8763587645,58.95,71.20743034
50,4,LFU,48.4767640248,54.956247932,66.98,3.40557276
50,10,LFU,52.6224295298,12.3882323227,55.25,90.7120743
20,10,LFU,52.4698242997,12.8057003021,55.56,89.78328173
100,2,LFU,49.6197507108,57.6807839952,66.98,0.0
200,2,LFU,50.8450576026,58.9609256839,66.98,0.0
