Cache Size,Threshold,Policy,VectorDB Latency (ms),Retrieve Latency (ms),Accuracy,Hit Rate (%)
100,1,LRU,51.3291980909,57.8935109425,66.98,0.30959752
200,4,LRU,48.8893411927,51.0931007633,65.74,8.66873065
20,4,LRU,48.6069783568,54.580080989,66.98,0.9287925699999999
10,10,LRU,52.4154449331,15.2140874243,56.48,82.04334365
10,4,LRU,51.9723236561,58.077016482,66.98,0.9287925699999999
20,1,LRU,49.637125886,56.4053184108,66.98,0.30959752
200,6,LRU,48.6206452464,35.7919824382,62.65,40.24767802
10,1,LRU,60.4095821795,67.2381736177,66.98,0.30959752
100,4,LRU,51.1199537913,54.3908246161,66.36,7.12074303
100,2,LRU,51.1549284154,57.0623667986,66.98,0.61919505
200,8,LRU,50.3413036305,21.0753874882,58.95,71.20743034
50,6,LRU,51.6050324952,44.6911921073,61.73,25.07739938
100,10,LRU,52.4495999018,11.1685574239,55.25,90.7120743
10,8,LRU,50.488777531,38.7841533212,63.89,36.222910219999996
20,8,LRU,48.6682256063,31.0721655748,58.33,49.845201239999994
100,6,LRU,49.1142777296,38.4545901981,62.35,35.60371517
50,10,LRU,49.7465848923,11.087799958,55.25,90.7120743
50,8,LRU,50.934540487,24.0989956693,60.49,65.01547988
100,8,LRU,48.765033804,19.7329196398,58.95,71.20743034
50,2,LRU,50.2815707079,56.9288066297,66.98,0.61919505
20,6,LRU,51.7083206377,52.334617166,64.51,11.45510836
50,1,LRU,50.3319938731,56.4913971136,66.98,0.30959752
20,2,LRU,48.1988073136,54.9550012169,66.98,0.30959752
20,10,LRU,54.2850766863,12.1205930739,54.63,89.16408669
10,6,LRU,51.8354221331,54.8881989884,66.05,7.430340559999999
200,2,LRU,48.8516875888,55.4339014709,66.98,0.61919505
200,10,LRU,51.0003964106,10.7098024327,55.25,90.7120743
10,2,LRU,48.5868690917,55.2080725738,66.98,0.30959752
200,1,LRU,51.13559406,57.9660418602,66.98,0.30959752
50,4,LRU,52.8635008213,57.9449274223,67.28,3.40557276
