Cache Size,Threshold,Policy,VectorDB Latency (ms),Retrieve Latency (ms),Accuracy,Hit Rate (%)
200,10,LRU,51000.3964106,10709.8024327,55.25,90.7120743
50,8,LRU,50934.540487,24098.9956693,60.49,65.01547988
200,4,LRU,48889.341192700005,51093.1007633,65.74,8.66873065
100,8,LRU,48765.033804,19732.9196398,58.95,71.20743034
10,8,LRU,50488.777531,38784.1533212,63.89,36.222910219999996
20,2,LRU,48198.8073136,54955.001216900004,66.98,0.30959752
200,1,LRU,51135.59406,57966.0418602,66.98,0.30959752
10,2,LRU,48586.869091700006,55208.072573800004,66.98,0.30959752
200,6,LRU,48620.6452464,35791.9824382,62.65,40.24767802
20,10,LRU,54285.0766863,12120.5930739,54.63,89.16408669
20,8,LRU,48668.225606299995,31072.1655748,58.33,49.845201239999994
100,2,LRU,51154.9284154,57062.3667986,66.98,0.61919505
50,2,LRU,50281.5707079,56928.8066297,66.98,0.61919505
50,1,LRU,50331.99387309999,56491.397113600004,66.98,0.30959752
100,1,LRU,51329.1980909,57893.5109425,66.98,0.30959752
10,4,LRU,51972.3236561,58077.016482,66.98,0.9287925699999999
20,6,LRU,51708.320637699995,52334.617166,64.51,11.45510836
10,1,LRU,60409.5821795,67238.1736177,66.98,0.30959752
50,4,LRU,52863.500821300004,57944.927422299996,67.28,3.40557276
100,10,LRU,52449.5999018,11168.5574239,55.25,90.7120743
100,4,LRU,51119.9537913,54390.8246161,66.36,7.12074303
200,8,LRU,50341.3036305,21075.387488200002,58.95,71.20743034
200,2,LRU,48851.6875888,55433.9014709,66.98,0.61919505
10,6,LRU,51835.4221331,54888.1989884,66.05,7.430340559999999
20,1,LRU,49637.125886,56405.3184108,66.98,0.30959752
10,10,LRU,52415.4449331,15214.0874243,56.48,82.04334365
50,10,LRU,49746.5848923,11087.799958,55.25,90.7120743
20,4,LRU,48606.9783568,54580.080989,66.98,0.9287925699999999
100,6,LRU,49114.2777296,38454.5901981,62.35,35.60371517
50,6,LRU,51605.0324952,44691.1921073,61.73,25.07739938
